path	classification	targetPackage	notes
packages/ops-cdp-core/docs/README.md	package-doc	packages/ops-cdp-core	canonical docs owned by ops-cdp-core
packages/ops-cdp-core/docs/project-transport.md	package-doc	packages/ops-cdp-core	canonical docs owned by ops-cdp-core
packages/ops-cdp-core/schemas/transport-result.v1.schema.json	package-schema	packages/ops-cdp-core	canonical schema owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/README.md	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/app-adapters.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/cdp-bridge.py	package-runtime	packages/ops-cdp-core	CDP bridge runtime owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/cdp-bridge.zig	package-runtime	packages/ops-cdp-core	CDP bridge runtime owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/cdp-open.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/README.md	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/artifacts.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/download-fetch.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/download-resolve.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/index.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/input.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/ir.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/navigation.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/policies/download.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/project-source-listing.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/project-sources.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/session.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/shared.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chatgpt/target.mjs	package-runtime	packages/ops-cdp-core	ChatGPT adapter module owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-app-login.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-chatgpt-doctor.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-chatgpt-login.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-create-project-thread.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-downloads-quarantine.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-fetch-artifact-strict.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-fetch-artifact.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
packages/ops-cdp-core/src/cdp/chromium-cdp-git-ref-health.mjs	package-runtime	packages/ops-cdp-core	CDP command/runtime file owned by ops-cdp-core
