id	area	requirement	enforcement	verification	status	evidence
R01	authority	Repo-specific bare repositories are the data SSOT	package boundary	metadata and runbook inspection	PASS	default.nix; docs/runbook.md
R02	authority	Remote forge is a replaceable generated backup artifact	package boundary	metadata and runbook inspection	PASS	default.nix; docs/runbook.md
R03	transport	Core uses Git transport only and contains no GitHub API dependency	static boundary	static source search	PASS	bin and lib contain Git subprocess calls only
R04	transport	Remote selection order is CLI, manifest, then OPS_REFS_VAULT_REMOTE	vaultRemote	CLI fixture tests	PASS	bin/ops-refs-vault.mjs
R05	identity	Repo identity derives from bareRoot-relative filesystem schema path	discovery	projection and e2e tests	PASS	test_ref_projection; e2e recursive fixture
R06	identity	Bare discovery is recursive beneath bareRoot	discovery	e2e nested bare test	PASS	e2e recursive path identity
R07	identity	Discovery does not follow symbolic links	discovery	static implementation inspection	PASS	discoverBareRepos skips symbolic links
R08	identity	Only valid bare directories ending in .git are discovered	discovery	projection and smoke tests	PASS	repoPathFromBare; smoke P03
R09	identity	Repo path codec has an explicit version prefix	repoKey codec	projection tests	PASS	=r1- prefix
R10	identity	Repo path codec is reversible and canonical	repoKey codec	property-style test cases	PASS	test_ref_projection round-trip
R11	identity	Repo key is a single Git ref path component	repoKey codec	projection tests	PASS	no slash in encoded key
R12	identity	Path and branch boundaries cannot collide	projection	collision test	PASS	a + b/main differs from a/b + main
R13	selection	Default source profile is refs/heads/*	profile boundary	static and e2e inspection	PASS	REF_PROFILE=heads-v1
R14	selection	Profile name and projection metadata are written into generated manifest	manifest generation	manifest fixture test	PASS	generatedManifest.v2 refProjection
R15	projection	All current destination refs are generated by one projector	projectHeadRef	static call-site inspection	PASS	projectHeadRef is the single current projector
R16	projection	Current refs parse back to repoPath and branch	parseManagedRemoteRef	projection test	PASS	current-r1 round-trip
R17	projection	Legacy refs/heads/repos/... refs are recognized	legacy parser	e2e injected legacy ref	PASS	extra-legacy-schema detected
R18	projection	Legacy unversioned flat refs are recognized	legacy parser	projection test	PASS	legacy-flat-v0 classification
R19	projection	Malformed managed refs are unknown rather than guessed	parser fail-closed	projection and e2e tests	PASS	unknown-managed-extra
R20	observation	Audit scans the whole managed remote root once	observedRows	e2e unknown extra test	PASS	git ls-remote refs/heads/*
R21	observation	Manifest repo list does not limit remote observation	observation boundary	e2e manifest-external ref test	PASS	legacy and unknown extras detected
R22	reconcile	Expected rows derive from source bare refs	Expected set	e2e and smoke	PASS	expectedRows uses source ls-remote
R23	reconcile	Observed rows derive from managed remote refs	Observed set	e2e and smoke	PASS	observedRows uses remote ls-remote
R24	reconcile	Expected and observed sets use a full outer join	ref-reconcile core	unit tests	PASS	test_ref_reconcile
R25	classification	Equal ref name and OID classify equal	classifier	unit and e2e tests	PASS	equal count
R26	classification	Source-only ref classifies missing-remote	classifier	unit tests	PASS	test_ref_reconcile
R27	classification	Remote ancestor of source classifies source-ahead	commit relation	smoke and e2e	PASS	smoke P11
R28	classification	Source ancestor of remote classifies remote-ahead-candidate	commit relation	e2e	PASS	candidate-plan remote-ahead
R29	classification	Unrelated tips classify diverged-candidate	commit relation	e2e	PASS	diverged test
R30	classification	Current-schema remote-only ref classifies extra-current-schema	classifier	unit test	PASS	test_ref_reconcile
R31	classification	Legacy remote-only ref classifies extra-legacy-schema	classifier	e2e	PASS	legacy injected ref
R32	classification	Unparseable managed ref classifies unknown-managed-extra	classifier	e2e	PASS	unknown injected ref
R33	classification	Relation fetch race or unavailable objects fail closed	commit relation	static and error-path inspection	PASS	observation-raced or unclassified
R34	audit	Audit performs no ref mutation	command boundary	e2e before/after observations	PASS	audit tests preserve injected refs
R35	backup	Backup performs full managed-root preflight before writes	backup boundary	e2e diverged and extra tests	PASS	backup-all-preflight
R36	backup	Only equal, missing-remote, and source-ahead are normal-backup-safe	preflight policy	unit and e2e tests	PASS	SAFE_BACKUP_CLASSIFICATIONS
R37	backup	Remote-ahead, diverged, legacy, and unknown states block normal backup	preflight policy	e2e tests	PASS	diverged and extra tests
R38	backup	Multiple refs from one repository push atomically	Git push boundary	e2e partial-write test	PASS	update hook rejects one ref and no sibling ref is written
R39	backup	Mirror push is prohibited	transport policy	static source gate	PASS	no --mirror in bin or lib
R40	backup	Generic force option is rejected	CLI policy	e2e force test	PASS	generic force disabled
R41	candidate	Candidate plan is read-only and reports observed OIDs	candidate-plan	e2e tests	PASS	candidate-plan output
R42	candidate	Adoption first restores candidate into an empty staging bare	candidate-adopt	e2e adoption test	PASS	staging required
R43	candidate	Adoption updates SSOT branch with Git update-ref compare-and-swap	candidate-adopt	source race test	PASS	expected source OID lease
R44	candidate	Adoption re-observes remote candidate before SSOT update	candidate-adopt	static and e2e inspection	PASS	remote OID check before update-ref
R45	candidate	Discard mutates remote only with force-with-lease exact remote OID	candidate-discard	remote race test	PASS	newer remote candidate preserved
R46	candidate	Discard pushes the immutable observed source OID and checks source before/after	candidate-discard	e2e and static inspection	PASS	source pre/post checks
R47	candidate	Diverged candidate cannot be directly adopted or normally backed up	candidate policy	e2e diverged test	PASS	direct adopt and backup blocked
R48	restore	Restore always targets a separate staging bare	restore boundary	e2e restore test	PASS	--staging-bare required
R49	restore	Missing requested branch fails without fallback	restore boundary	smoke and code inspection	PASS	missing remote branch error
R50	restore	Restored bare HEAD points at requested branch	integrity gate	e2e	PASS	symbolic-ref HEAD check
R51	restore	Restored bare passes git fsck --full	integrity gate	e2e	PASS	fsck pass
R52	restore	Restored bare can be cloned and HEAD OID matches	integrity gate	e2e	PASS	clone usability pass
R53	promotion	Promotion requires explicit --confirm	promotion boundary	smoke and static inspection	PASS	confirm required
R54	promotion	Promotion pushes all staging heads atomically and fsck-checks target	promotion boundary	smoke and static inspection	PASS	--atomic and fsck
R55	evidence	Backup receipt records manifest digest and per-ref results	receipt schema	smoke	PASS	backup receipt JSON
R56	extension	Wiki can enter as another bare repository without core forge API logic	extension boundary	documentation and architecture inspection	PASS	docs/runbook.md
R57	extension	Issue data remains outside core and may be producer-exported into a bare repo	extension boundary	documentation and architecture inspection	PASS	docs/runbook.md
R58	operations	Managed backup refs are single-writer outputs of ops-refs-vault	operations contract	documentation inspection	PASS	docs/runbook.md
R59	migration	Legacy and unknown refs are reported but never auto-deleted	migration policy	e2e and source inspection	PASS	audit-only classification; no prune
R60	build	Nix check runs syntax, unit, e2e, smoke, proof IDs, and no-mirror static gate	flake check	Nix build	PASS	nix build .#checks.x86_64-linux.ops-refs-vault
